fam	genome
RLC08024	b73
RLC08063	b73
RLC08085	b73
RLC08101	b73
RLC08102	b73
RLC08121	b73
RLC08143	b73
RLC08154	b73
RLC08157	b73
RLC08163	b73
RLC08172	b73
RLC08183	b73
RLC08187	b73
RLC08203	b73
RLC08265	b73
RLC08285	b73
RLC08306	b73
RLC08313	b73
RLC08318	b73
RLC08320	b73
RLC08321	b73
RLC08324	b73
RLC08335	b73
RLC08344	b73
RLC08377	b73
RLC08419	b73
RLC08437	b73
RLC08462	b73
RLC08531	b73
RLC08633	b73
RLC08639	b73
RLC08641	b73
RLC08650	b73
RLC08652	b73
RLC08654	b73
RLC08656	b73
RLC08661	b73
RLC08665	b73
RLC08666	b73
RLC08703	b73
RLC08708	b73
RLC08719	b73
RLC08819	b73
RLC08827	b73
RLC08832	b73
RLC08838	b73
RLC08851	b73
RLC08853	b73
RLC08868	b73
RLC08886	b73
RLC08888	b73
RLC08891	b73
RLC08908	b73
RLC08920	b73
RLC08933	b73
RLC08965	b73
RLC08975	b73
RLC09000	b73
RLC09010	b73
RLC09015	b73
RLC09022	b73
RLC09031	b73
RLC09059	b73
RLC09074	b73
RLC09093	b73
RLC09097	b73
RLC09104	b73
RLC09108	b73
RLC09110	b73
RLC09121	b73
RLC09209	b73
RLC09224	b73
RLC09228	b73
RLC09260	b73
RLC09285	b73
RLC09288	b73
RLC09375	b73
RLC09401	b73
RLC09410	b73
RLC09428	b73
RLC09430	b73
RLC09440	b73
RLC09445	b73
RLC09465	b73
RLC09474	b73
RLC09491	b73
RLC09514	b73
RLC09515	b73
RLC09517	b73
RLC09528	b73
RLC09542	b73
RLC09557	b73
RLC09565	b73
RLC09571	b73
RLC09586	b73
RLC09587	b73
RLC09605	b73
RLC09616	b73
RLC09619	b73
RLC09630	b73
RLC09636	b73
RLC09637	b73
RLC09645	b73
RLC09654	b73
RLC09670	b73
RLC09673	b73
RLC09677	b73
RLC09678	b73
RLC09691	b73
RLC09698	b73
RLC09703	b73
RLC09723	b73
RLC09751	b73
RLC09764	b73
RLC09765	b73
RLC09811	b73
RLC09825	b73
RLC09848	b73
RLC09869	b73
RLC09874	b73
RLC09879	b73
RLC09886	b73
RLC09889	b73
RLC09896	b73
RLC09898	b73
RLC09902	b73
RLC09916	b73
RLC09923	b73
RLC09928	b73
RLC09933	b73
RLC09942	b73
RLC09949	b73
RLC09958	b73
RLC09962	b73
RLC09982	b73
RLC09991	b73
RLC09996	b73
RLC10009	b73
RLC10010	b73
RLC10035	b73
RLC10038	b73
RLC10039	b73
RLC10053	b73
RLC10056	b73
RLC10063	b73
RLC10065	b73
RLC10075	b73
RLC10085	b73
RLC10087	b73
RLC10151	b73
RLC10174	b73
RLC10196	b73
RLC10199	b73
RLC10229	b73
RLC10244	b73
RLC10248	b73
RLC10258	b73
RLC10274	b73
RLC10303	b73
RLC10331	b73
RLC10353	b73
RLC10361	b73
RLC10365	b73
RLC10381	b73
RLC10387	b73
RLC10401	b73
RLC10405	b73
RLC10413	b73
RLC10436	b73
RLC10437	b73
RLC10444	b73
RLC10535	b73
RLC10538	b73
RLC10546	b73
RLC10549	b73
RLC10596	b73
RLC10642	b73
RLC10647	b73
RLC10685	b73
RLC10690	b73
RLC10707	b73
RLC10743	b73
RLC10810	b73
RLC10830	b73
RLC10833	b73
RLC10841	b73
RLC10846	b73
RLC10890	b73
RLC10919	b73
RLC10923	b73
RLC10928	b73
RLC10939	b73
RLC10944	b73
RLC10972	b73
RLC10975	b73
RLC11021	b73
RLC11023	b73
RLC11040	b73
RLC11061	b73
RLC11064	b73
RLC11095	b73
RLC11112	b73
RLC11127	b73
RLC11129	b73
RLC11137	b73
RLC11151	b73
RLC11159	b73
RLC11162	b73
RLC11168	b73
RLC11169	b73
RLC11177	b73
RLC11206	b73
RLC11208	b73
RLC11216	b73
RLC11233	b73
RLC11235	b73
RLC11263	b73
RLC11271	b73
RLC11282	b73
RLC11312	b73
RLC11317	b73
RLC11323	b73
RLC11327	b73
RLC11329	b73
RLC11362	b73
RLC11369	b73
RLC11371	b73
RLC11374	b73
RLC11382	b73
RLC11408	b73
RLC11410	b73
RLC11411	b73
RLC11413	b73
RLC11424	b73
RLC11427	b73
RLC11430	b73
RLC11473	b73
RLC11475	b73
RLC11480	b73
RLC11491	b73
RLC11498	b73
RLC11505	b73
RLC11511	b73
